formatted_address,latitude,longitude,google_place_id,input_string
Cluster V - Jumeirah Lakes Towers - Dubai - United Arab Emirates,25.0781261,55.1516254,ChIJAVM6AqdsXz4RvPXlft3lDGs,"V3 TOWER Al Thanyah Fifth Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"P24 Al Warsan First Dubai , UAE"
Jebel Ali Race Course Rd - Barsha Heights - Dubai - United Arab Emirates,25.0957271,55.1727451,ChIJfWzK8XprXz4RnKnakmc2krk,"EXECUTIVE HEIGHTS Al Thanyah First Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"Q07 Al Warsan First Dubai , UAE"
25°10'02. 55°24'32. - 5 7 St - International City - دبي - United Arab Emirates,25.167429,55.409042,ChIJtYHEeUlhXz4R65Y78YVHS1I,"GLOBAL GREEN VIEW Al Warsan First Dubai , UAE"
W2 - Shemara - شارع شاطئ جميرة - Dubai Marina - Dubai - United Arab Emirates,25.0742624,55.132712,EkpXMiAtIFNoZW1hcmEgLSDYtNin2LHYuSDYtNin2LfYpiDYrNmF2YrYsdipIC0gRHViYWkgLSBVbml0ZWQgQXJhYiBFbWlyYXRlcyIeGhwKFgoUChIJ45Mp2FUTXz4RfbbHeNM7PDUSAlcy,"SHEMARA W2 Marsa Dubai Dubai , UAE"
Indigo Tower - Cluster D - Jumeirah Lakes Towers - Dubai - United Arab Emirates,25.0700789,55.140243,ChIJt19SsRBtXz4RQWdNb0tjZZg,"Indigo Tower Al Thanyah Fifth Dubai , UAE"
"Jabal Ali First, Discovery Garden 1 - Jebel Ali Village - Dubai - United Arab Emirates",25.0520917,55.1301564,ChIJ78OKVjETXz4Rc7IaTH1jFXg,"MED 59 Jabal Ali First Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"X19 Al Warsan First Dubai , UAE"
Dubai - The Views - Dubai - United Arab Emirates,25.0898443,55.1702927,ChIJ6aXmNWNrXz4RkQ9N8tReT8I,"The Fairways West Tower Al Thanyah Third Dubai , UAE"
Dubai Sports City - Dubai - United Arab Emirates,25.042245,55.21774,ChIJSzD0gtttXz4RmStr1PLUuCk,"Hub Canal 2 Al Hebiah Fourth Dubai , UAE"
5a - The Views - Dubai - United Arab Emirates,25.0889855,55.1711736,ChIJL1rz5nxrXz4R1Hss3V6WoWU,"The Fairways East Tower Al Thanyah Third Dubai , UAE"
Dubai - Dubai Sports City - Dubai - United Arab Emirates,25.0422991,55.2058217,ChIJB3vkm8dtXz4RpBQKsnh3LSw,"Ice Hockey Tower Al Hebiah Fourth Dubai , UAE"
Hessa St - Dubai - United Arab Emirates,25.0593353,55.221495,ChIJtTwQgWtsXz4RKyWcyj5liQs,"APRICOT Nadd Hessa Dubai , UAE"
"810, Hub Canal - مدينة دبي الرياضية, Hub Canal 1 - Victory Dr - مدينة دبي الرياضية - دبي - United Arab Emirates",25.0429553,55.2177215,ChIJ8dFmic9tXz4RU1-Bs03AOck,"Hub Canal 1 Al Hebiah Fourth Dubai , UAE"
Golf Course Dr - Dubai Sports City - Dubai - United Arab Emirates,25.0412693,55.2053181,ChIJrc6Yn8dtXz4RTzyKUDBG0rU,"Cricket Tower Al Hebiah Fourth Dubai , UAE"
CBD 19 - International City - Dubai - United Arab Emirates,25.1675509,55.4058716,ChIJrzG5WUphXz4R17D8xdeqCsI,"Riviera Residence Al Warsan First Dubai , UAE"
Opal Tower - Dubai Marina - Dubai - United Arab Emirates,25.0683406,55.132919,ChIJvS8dzVMTXz4RFjjnfflO5PY,"OPAL TOWER Marsa Dubai Dubai , UAE"
The Fairways - 5th St - The Views - Dubai - United Arab Emirates,25.0894273,55.1708615,ChIJC1EX0HxrXz4R1F4zydNBb6U,"The Fairways Loft Apts Al Thanyah Third Dubai , UAE"
Al Pherdan - The Views - Dubai - United Arab Emirates,25.0897336,55.1710715,ChIJx6CoznxrXz4R7IrGSTzxV14,"The Fairways North Tower Al Thanyah Third Dubai , UAE"
Hessa St - Dubai - United Arab Emirates,25.0593353,55.221495,ChIJtTwQgWtsXz4RKyWcyj5liQs,"canceled building Nadd Hessa Dubai , UAE"
