area_name_en,lat,lon,amenity
Al Barsha,25.1160413,55.1953188,ice_cream
Al Barsha,25.1159001,55.1951108,car_rental
Al Barsha,25.1149792,55.1947094,fast_food
Al Barsha,25.1148963,55.1947905,pharmacy
Al Barsha,25.1148304,55.1948924,restaurant
Al Barsha,25.1145988,55.1950871,restaurant
Al Barsha,25.114741,55.1927338,restaurant
Al Barsha,25.1142164,55.1931901,pharmacy
Al Barsha,25.1124303,55.1919526,restaurant
Al Barsha,25.1127192,55.1917305,car_rental
Al Barsha,25.1129347,55.191556,car_rental
Al Barsha,25.1130065,55.1914961,veterinary
Al Barsha,25.1131087,55.1914133,pharmacy
Al Barsha,25.1131087,55.1913392,library
Al Barsha,25.1116346,55.1888555,restaurant
Al Barsha,25.1084432,55.1839792,pharmacy
Al Barsha,25.1117406,55.2045624,restaurant
Al Barsha,25.1119405,55.2043972,restaurant
Al Barsha,25.1124465,55.2047352,restaurant
Al Barsha,25.1148977,55.2038289,pharmacy
Al Barsha,25.114583,55.2036841,car_rental
Al Barsha,25.114388,55.2035845,restaurant
Al Barsha,25.1134104,55.1945037,veterinary
Al Barsha,25.1134735,55.19445,restaurant
Al Barsha,25.1168322,55.1945411,restaurant
Al Barsha,25.116791,55.1944753,car_rental
Al Barsha,25.1162211,55.1950602,car_rental
Al Barsha,25.116169,55.1949862,cafe
Al Barsha,25.1161504,55.1949595,fast_food
Al Barsha,25.1161355,55.1949307,restaurant
Al Barsha,25.1158527,55.1945454,restaurant
Al Barsha,25.1158331,55.1945146,restaurant
Al Barsha,25.1158099,55.1944807,restaurant
Al Barsha,25.1153705,55.1939368,pub
Al Barsha,25.1151699,55.1941337,pharmacy
Al Barsha,25.1150896,55.1942076,clinic
Al Barsha,25.1149871,55.194306,restaurant
Al Barsha,25.1139213,55.1929175,car_rental
Al Barsha,25.1138043,55.1929642,restaurant
Al Barsha,25.1137396,55.192967,pharmacy
Al Barsha,25.1128633,55.1931237,restaurant
Al Barsha,25.112592,55.1933546,restaurant
Al Barsha,25.1131529,55.1909592,restaurant
Al Barsha,25.1131328,55.1909276,restaurant
Al Barsha,25.1131174,55.1909076,restaurant
Al Barsha,25.1131052,55.1908865,restaurant
Al Barsha,25.1123693,55.1898401,pharmacy
Al Barsha,25.1123454,55.189805,food_court
Al Barsha,25.110822,55.2020592,clinic
Al Barsha,25.1130032,55.2018086,pharmacy
Al Barsha,25.1149352,55.2028718,restaurant
Al Barsha,25.1149554,55.2047582,restaurant
Al Barsha,25.1149105,55.2048016,restaurant
Al Barsha,25.1148894,55.2048233,fast_food
Al Barsha,25.1142837,55.20541,restaurant
Al Barsha,25.113536,55.2061739,restaurant
Al Barsha,25.1132677,55.2063608,restaurant
Al Barsha,25.1140039,55.2142871,restaurant
Al Barsha,25.1110504,55.1911269,restaurant
Al Barsha,25.1129227,55.1941632,place_of_worship
Al Barsha,25.1093583,55.184155,car_rental
Al Barsha,25.1169585,55.2036581,restaurant
Al Barsha,25.1047591,55.1923029,parking
Al Barsha,25.1043692,55.1925357,parking
Al Barsha,25.1133401,55.1940853,dentist
Al Barsha,25.1003513,55.2005174,bench
Al Barsha,25.1003676,55.2001353,bench
Al Barsha,25.1011169,55.2057785,drinking_water
Al Barsha,25.114965,55.212745,restaurant
Al Barsha,25.110963,55.2037121,restaurant
Al Barsha,25.1122562,55.2054733,payment_terminal
Al Barsha,25.1123067,55.2052015,restaurant
Al Barsha,25.1121763,55.2045552,car_rental
Al Barsha,25.1122467,55.2047536,payment_terminal
Al Barsha,25.1111526,55.2042063,payment_terminal
Al Barsha,25.1117662,55.2056653,restaurant
Al Barsha,25.1123214,55.2055394,restaurant
Al Barsha,25.1166081,55.2056372,community_centre
Al Barsha,25.1137,55.1900544,restaurant
Al Barsha,25.1071266,55.2029368,fuel
Al Barsha,25.1116654,55.204302,clinic
Al Barsha,25.111817,55.2016653,parking_entrance
Al Barsha,25.1142714,55.1908341,restaurant
Al Barsha,25.1110408,55.2010447,community_centre
Al Barsha,25.0813874,55.2072515,place_of_worship
Al Barsha,25.1155383,55.1938445,bar
Al Barsha,25.1161896,55.193787,restaurant
Al Barsha,25.1095392,55.1843158,car_rental
Al Barsha,25.1092322,55.1845283,car_rental
Al Barsha,25.0995266,55.2004475,clinic
Al Barsha,25.099551,55.200764,hospital
Al Barsha,25.1129137,55.1930739,restaurant
Al Barsha,25.1175595,55.2082039,driving_school
Al Barsha,25.1140877,55.2053191,restaurant
Al Barsha,25.1122828,55.204558,driving_school
Al Barsha,25.099177,55.2040176,driving_school
Al Wasl,25.2113011,55.2571562,bank
Al Wasl,25.2093339,55.2602293,fast_food
Al Wasl,25.19905,55.248585,restaurant
Al Wasl,25.1959416,55.2466801,restaurant
Al Wasl,25.2047631,55.2527913,school
Al Wasl,25.2013391,55.2502006,restaurant
Al Wasl,25.2080344,55.2549642,restaurant
Al Wasl,25.1896279,55.2564625,bank
Al Wasl,25.2081342,55.2550475,restaurant
Al Wasl,25.1915821,55.2473603,police
Al Wasl,25.2001703,55.249355,restaurant
Al Wasl,25.2097732,55.2598046,restaurant
Al Wasl,25.2006189,55.2665064,dentist
Al Wasl,25.2061073,55.2638404,restaurant
Al Wasl,25.2060133,55.2637693,place_of_worship
Al Wasl,25.2036799,55.2518451,fast_food
Al Wasl,25.2015127,55.2674951,bank
Al Wasl,25.1989166,55.2483734,cafe
