latitude,longitude,google_place_id,area_name_en,nlat,nlng,slat,slng,type
25.2489204,55.3060551,ChIJ5Rw5v9dCXz4R3SUtcL5ZLMk,Al Karama,25.2543132,55.3137476,25.2350504,55.2962543,Bound
25.2048493,55.2707828,ChIJRcbZaklDXz4RYlEphFBu5r0,Al-Raulah,25.3585607,55.5650393,24.7921359,54.8904543,Bound
25.273365,55.3065221,ChIJVwkIAE9DXz4RYHYBHCIFyfU,Al Musalla (Dubai),25.2771867,55.3081285,25.2690117,55.3046728,Bound
25.264223,55.2870533,ChIJKUeygWtDXz4RBsAjXltOFnk,Shandagha East,25.26557198,55.28840228,25.26287402,55.28570432,Viewport
25.2143371,55.2589065,ChIJBYIfS11CXz4R6ixC9C7OEPg,Al Asbaq,25.21568608,55.26025548,25.21298812,55.25755752,Viewport
25.2640103,55.2886721,ChIJISX55T9DXz4Rez15A9bLb6g,Al Fahidi,25.2685626,55.3014846,25.2582477,55.2842107,Bound
25.255758,55.2880874,ChIJu7ZyDhdDXz4R6wfJPDoMXk0,Al Raffa,25.260437,55.2967646,25.2470423,55.280968,Bound
25.262408,55.2936155,ChIJUQEswz9DXz4RKDSqlMS1gMI,Al Suq Al Kabeer,25.2655485,55.30141,25.2584654,55.2846621,Bound
25.2601903,55.3046728,ChIJ2-GuozBDXz4RfYGRzIgpiNA,Al Hamriya,25.2651893,55.3095102,25.2550983,55.2980518,Bound
25.21937,55.272887,ChIJ25p_LPVCXz4RYYD1HXfHUv0,Al Satwa,25.2341335,55.2863535,25.2060982,55.2616495,Bound
25.1435458,55.3475331,ChIJ6dKpYH1mXz4RQbaZqBp7hGg,Nad Al Shiba,25.1699688,55.3906834,25.1202718,55.2878642,Bound
25.2016428,55.2452567,ChIJ_xyxUBRCXz4RPlErL42mVPY,Jumeirah,25.2425956,55.2723475,25.1700681,55.217256,Bound
25.1551127,55.2065891,ChIJ7au3KTlqXz4RvVv9tczxk-Q,Um Suqaim,25.1768061,55.227126,25.1278105,55.1869011,Bound
25.2619867,55.3987166,ChIJewYBbtddXz4RIq8f9fO9Iqc,Al Qusais,25.2706239,55.4084369,25.2530987,55.3904592,Bound
25.2830909,55.351682,ChIJT_1Aoo5cXz4R36wKDfYA9l8,Hor Al Anz East,25.2939444,55.359413,25.2756483,55.343821,Bound
25.2004324,55.3862638,ChIJVwSZlj5nXz4RUnPLxdaDXDU,Nad Al Hamar,25.2162011,55.4025507,25.1800879,55.3708363,Bound
25.2712259,55.4042518,ChIJa8HS1X9eXz4RNQdllG6rThQ,Muhaisna,25.2805607,55.414324,25.2647661,55.3964707,Bound
25.2769983,55.3337049,ChIJeZRZbJVcXz4RTcg6O_XNsM0,Hor Al Anz,25.2833495,55.3473708,25.2710889,55.3278296,Bound
25.3058229,55.3447672,ChIJDRT2bnxbXz4Rao6kmuXJScU,Al Mamzer,25.327954,55.3634311,25.2898894,55.3364134,Bound
